TOWN_LOCALITY,REGION,YEAR,FOOD,CLOTHING,HOUSING,HOUSEHOLD_EQUIPMENT_OPERATION,TRANSPORTATION,TOBACCO_ALCOHOL,HEALTH_PERSONAL_CARE,RECREATION_EDUCATION,ALL_GROUPS,LONGITUDE,LATITUDE
Albany,Great Southern,2011,1.6,4.5,-5.1,5.2,0.3,3,3.7,-1.2,-0.1,117.884727,-35.023819
Broome,Kimberley,2011,19.7,20.9,16.4,12.9,12.5,6.3,7.7,16,15.2,122.245049,-17.95215
Bunbury,South West,2011,6.6,6.8,-6.4,0,1.9,0,0.4,6.4,0.6,115.636093,-33.327419
Busselton,South West,2011,3,10.5,-6.9,1.2,-0.1,1.9,-1.1,6.1,-0.2,115.34463,-33.64994
Carnarvon,Gascoyne,2011,6.2,17.3,7.7,10.6,9.4,6.2,0.4,-0.8,6.7,113.695953,-24.864031
Denmark,Great Southern,2011,-2.1,25.1,-0.6,10.7,2.6,4.7,3.3,0.4,2.7,117.35623,-34.96196
Derby,Kimberley,2011,11.4,29.3,80.4,11.7,16.4,8.4,7.5,10.4,32.6,123.630112,-17.30368
Esperance,Goldfields-Esperance,2011,6,24.4,-5.6,6,3.9,2.6,4.8,1.2,2,121.838799,-33.81831
Exmouth,Gascoyne,2011,27.3,17.5,14.8,17.1,8.2,12.2,5.3,10.1,15.8,114.122391,-21.930719
Gascoyne,Gascoyne,2011,12.2,17.4,9.7,12.5,9.4,7.9,1.8,2.3,9.3,116.097923,-25.432289
Geraldton,Mid West,2011,6.1,19.8,-3.7,4.1,0.3,2.1,3.1,1.8,1.7,114.611229,-28.77305
Gingin,Wheatbelt,2011,10.8,14.2,-4,6.4,3.2,8.1,1.6,-1.5,2.6,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2011,9.9,13.1,2.9,4.7,2.7,3.4,3.7,5.9,5.1,121.91196,-33.83297
Great Southern,Great Southern,2011,1.1,7.2,-4.5,5.9,0.6,3.2,3.6,-1,0.2,116.53641,-31.88664
Kalgoorlie,Goldfields-Esperance,2011,11.2,7.6,6.5,3.7,2.1,3.4,2.9,7.9,6.2,121.476013,-30.74799
Karratha,Pilbara,2011,15.5,17.4,102,7.2,9.5,1.1,12.2,9.5,37.5,116.846802,-20.736691
Kimberley,Kimberley,2011,18.3,23.4,33.1,12.7,14.2,7.9,8.9,13.9,20,124.33964,-17.40375
Mandurah,Peel,2011,4.5,4.4,-5.3,-0.1,-0.1,-1.9,-2.8,2,-0.6,115.742561,-32.53664
Mid West,Mid West,2011,7.8,20,-3.8,5.2,0.9,2.9,3.3,1.6,2.2,115.9969,-31.86357
Narrogin,Wheatbelt,2011,2,10.8,-5.6,-1.3,5.6,6.1,5,0.1,0,117.17645,-32.93468
Northam,Wheatbelt,2011,1.4,13.8,-3,1.2,2,2.9,2.2,-1.1,0.3,116.671059,-31.654921
Port Hedland,Pilbara,2011,12.8,17.9,96.5,9.8,12.6,0.8,9,9.3,36.1,118.559258,-20.366859
South West,South West,2011,4.9,8.6,-6.6,0.6,0.6,0.9,-0.3,6.2,0.2,116.24409,-20.80619
Toodyay,Wheatbelt,2011,4.5,13.8,-2.8,3.5,2.1,7.8,4.2,-1.5,1.4,116.46776,-31.55
Wheatbelt,Wheatbelt,2011,4.3,13.1,-3.7,2.4,3.1,5.8,3,-1,1,118.0953,-32.0334
Albany,Great Southern,2013,1.8,2.8,-15.8,0.9,-0.2,1,10.8,5.2,-2.9,117.884727,-35.023819
Broome,Kimberley,2013,7.5,11.3,33.7,10.5,5.7,12,2.3,10.8,16,122.245049,-17.95215
Bunbury,South West,2013,-1.3,9.5,-7.3,1.4,1.6,1.4,4.2,6.5,-0.5,115.636093,-33.327419
Busselton,South West,2013,-1.5,15.2,-2.6,0.4,-1.3,4.3,-3.1,6.9,0.3,115.34463,-33.64994
Byford,Peel,2013,1.8,2.5,-0.4,1.1,-1.6,3.4,8.1,-10,-0.7,116.00807,-32.22151
Carnarvon,Gascoyne,2013,7.4,20.1,20.4,5.1,1.9,11.5,6.4,-7.9,8.5,113.695953,-24.864031
Denmark,Great Southern,2013,6.7,18.8,-4.5,0.9,1.3,2.8,13.9,-4.9,0.7,117.35623,-34.96196
Derby,Kimberley,2013,10.7,14.2,13.4,10.5,10.4,14.2,-1,3.6,10.7,123.630112,-17.30368
Esperance,Goldfields-Esperance,2013,6.4,14.9,-3.1,7.9,5.8,5.2,20.6,4,4.3,121.838799,-33.81831
Exmouth,Gascoyne,2013,-1.4,17.5,21.1,8.1,15.7,2.7,0.6,0.4,10.1,114.122391,-21.930719
Gascoyne,Gascoyne,2013,4.9,19.4,20.6,6,5.9,9,4.8,-5.5,9,116.097923,-25.432289
Geraldton,Mid West,2013,2.6,21.8,-3,3.7,0.9,3.5,14.9,4.7,2.4,114.611229,-28.77305
Gingin,Wheatbelt,2013,11.4,29.6,-8,1.2,2.4,5.8,6.6,-4.7,0.8,115.90472,-31.34608
Goldfields-Esperance,Goldfields-Esperance,2013,6.5,8.7,-2.6,4.2,1.8,5.4,19,11,4.1,121.91196,-33.83297
Great Southern,Great Southern,2013,2.4,4.9,-14.4,0.9,0,1.2,11.2,3.9,-2.4,116.53641,-31.88664
